Status,Year,Month,Day,Name,AltName1,AltName2,AltName3,VictimsRace,VictimsSex,VictimsAge,LynchCounty,LynchState,FIPSLynch,MobCounty,MobState,FIPSMob,CompositionofMob,MethodofDeath,Accusation,Source,ProblemFlag,lynchdate,placehold,vicnum,strvicnum,uniqueid
Lynching,1879,12,21,Squire Smith,,,,Black,Male,,Russell,AL,1113,Russell,AL,1113,White and black,Hanged,Murder and robbery of two young Irish peddlers,"Columbus (GA) Enquirer-Sun 12/23/1879, p. 4
Atlanta (GA) Constitution 12/23/1879, p. 1 (Ancestry.com has this as p. 5)
Macon (GA) Telegraph and Messenger 12/23/1879, p. 1
Fort Wayne (IN) Weekly Sentinel 12/24/1879, p. 6 (Ancestry.com)
Albert Lea (MN) Standard 1/1/1880, p. 8 (Ancestry.com)",,18791221,AL18791221,1,01,AL1879122101
Lynching,1879,12,21,Bill King,,,,Black,Male,,Russell,AL,1113,Russell,AL,1113,White and black,Hanged,Murder and robbery of two young Irish peddlers,"Columbus (GA) Enquirer-Sun 12/23/1879, p. 4
Atlanta (GA) Constitution 12/23/1879, p. 1 (Ancestry.com has this as p. 5)
Macon (GA) Telegraph and Messenger 12/23/1879, p. 1
Fort Wayne (IN) Weekly Sentinel 12/24/1879, p. 6 (Ancestry.com)
Albert Lea (MN) Standard 1/1/1880, p. 8 (Ancestry.com)",,18791221,AL18791221,2,02,AL1879122102
Lynching,1880,8,7,John W. Bailey,� Bailz/Boiles,John H. Bailes,John H. Bails/Bales,White,Male,,Limestone,AL,1083,Limestone,AL,1083,,Hanged,Murder of his wife,"Baltimore (MD) Sun 5/24/1879, p. 1 (GenealogyBank.com)
Omaha (NE) Daily Bee 8/9/1880, p. 1 (ChroniclingAmerica.loc.gov)
Wheeling (WV) Register 8/9/1880, p. 1 (GenealogyBank.com)
Columbus (GA) Daily Enquirer 8/10/1880, p. 1 (GenealogyBank.com)
Iola (KS) Register 8/13/1880, p. 2 (ChroniclingAmerica.loc.gov)
Decatur (IL) Daily Review 8/18/1880, p. 2 (NewspaperArchive.com)
Richwood (OH) Gazette 8/19/1880, p. 4 (NewspaperArchive.com",,18800807,AL18800807,1,01,AL1880080701
Lynching,1881,6,9,Shade Thompson,,,,Black,Male,,Barbour,AL,1005,Barbour,AL,1005,,Hanged,Sexual assault on a young white girl,"Philadelphia (PA) Inquirer 6/10/1881, p. 1 (GenealogyBank.com)
Indianapolis (IN) Register 6/10/1881, p. 1 (GenealogyBank.com)
Columbus (GA) Sunday Enquirer 6/12/1881, p. 2 (Columbus Historic Newspapers)",,18810609,AL18810609,1,01,AL1881060901
Lynching,1881,7,7,� Waldrup,� Waldrop,,,White,Male,25,Clay,AL,1027,Clay,AL,1027,,Hanged,Murder of a married white woman,"Columbus (GA) Daily Enquirer 7/9/1881, p. 4 (GenealogyBank.com)
Atlanta (GA) Weekly Constitution 7/12/1881, p. 3 (Atlanta Historic Newspapers)",,18810707,AL18810707,1,01,AL1881070701
Lynching,1881,7,22,Albert Brooks,,,,Black,Male,,Barbour,AL,1005,Barbour,AL,1005,Possibly black,Unreported,Killing a black man,"Columbus (GA) Daily Enquirer-Sun 7/20/1881, p. 3 (Columbus Historic Newspapers; GenealogyBank.com)
Columbus (GA) Daily Enquirer-Sun 7/23/1881, p. 3 (Columbus Historic Newspapers; GenealogyBank.com)
",,18810722,AL18810722,1,01,AL1881072201
Lynching,1881,8,3,A. King,� King,A. Niny,,White,Male,,Perry,AL,1105,Perry,AL,1105,Black,Riddled with bullets,Unreported,"Columbus (GA) Daily Enquirer-Sun 8/4/1881, p. 1 (GenealogyBank.com; Columbus Historic Newspapers)
Chicago (IL) Inter Ocean 8/4/1881, p. 5 (GenealogyBank.com)
Fort Wayne (IN) Daily Gazette 8/4/1881, p. 15 (NewspaperArchive.com)
Macon (GA) Weekly Telegraph and Messenger 8/5/1881, p. 5 (Macon Historic Newspapers)",,18810803,AL18810803,1,01,AL1881080301
Lynching,1882,1,17,Fred Britton,Theodore Burton,Unnamed White Man,,White,Male,,Franklin,AL,1059,Franklin ,AL,1059,Masked,Hanged,Murder of a white man and attempted murder of others,"Montgomery Daily Advertiser 2/23/1882, p. 1
St. Albans (VT) Daily Messenger 2/24/1882, p. 1 (GenealogyBank.com)
Montgomery Daily Advertiser 2/26/1882, p. 4",,18820117,AL18820117,1,01,AL1882011701
Lynching,1882,4,14,Sam Acoff,Simeon Arcoff/Acoff,Jim Acoff,Sim Akoff,Black,Male,,Dallas,AL,1047,Dallas ,AL,1047,Masked,Shot,Murder of an old white man,"Columbus (GA) Daily Enquirer-Sun 2/11/1882, p. 3 (Columbus Historic Newspapers)
Columbus (GA) Daily Enquirer-Sun 3/31/1882, p. 3 (Columbus Historic Newspapers)
New York (NY) Herald 4/1/1882, p. 4 (GenealogyBank.com)
Newark (OH) Daily Advocate 4/14/1882, p. 1 (Ancestry.com)
Atlanta (GA) Constitution 4/15/1882, p. 1
Augusta (GA) Chronicle 4/25/1882, p. 1A (GenealogyBank.com)
Columbus (GA) Daily Enquirer-Sun 4/25/1882, p. 1 (Columbus Historic Newspapers)",,18820414,AL18820414,1,01,AL1882041401
Lynching,1882,4,14,Henry Ivy,Henry Ivey,Henry Joy,Unnamed Negro Man,Black,Male,,Dallas,AL,1047,Dallas ,AL,1047,Masked,Hanged,Murder of an old white man,"Columbus (GA) Daily Enquirer-Sun 2/11/1882, p. 3 (Columbus Historic Newspapers)
Columbus (GA) Daily Enquirer-Sun 3/31/1882, p. 3 (Columbus Historic Newspapers)
New York (NY) Herald 4/1/1882, p. 4 (GenealogyBank.com)
Newark (OH) Daily Advocate 4/14/1882, p. 1 (Ancestry.com)
Atlanta (GA) Constitution 4/15/1882, p. 1
Augusta (GA) Chronicle 4/25/1882, p. 1A (GenealogyBank.com)
Columbus (GA) Daily Enquirer-Sun 4/25/1882, p. 1 (Columbus Historic Newspapers)",,18820414,AL18820414,2,02,AL1882041402
Lynching,1882,8,12,Bob Brooks,Bob Young,,,White,Male,19,Chambers,AL,1017,Chambers,AL,1017,,Hanged,Murder of a white merchant,"New Haven (CN) Register 12/10/1881, p. 1 (GenealogyBank.com)
Chicago ((IL) Inter Ocean 12/10/1881, p. 3 (GenealogyBank.com)
Oglethorpe (GA) Echo 12/15/1881, p. 4
Columbus (GA) Daily Enquirer 12/17/1881, p. 1 (GenealogyBank.com)
New York (NY) 8/15/1882, p. 2 (Ancestry.com)
Atlanta (GA) Constitution 8/15/1882, p. 2 (Ancestry.com; NewspaperArchive.com)
Atlanta (GA) Constitution 8/16/1882, p. 2 (Ancestry.com; NewspaperArchive.com)",,18820812,AL18820812,1,01,AL1882081201
Lynching,1882,8,12,Charles Griffin,Charlie Griffin,,,White,Male,20,Chambers,AL,1017,Chambers,AL,1017,,Hanged,Murder of a white merchant,"New Haven (CN) Register 12/10/1881, p. 1 (GenealogyBank.com)
Chicago ((IL) Inter Ocean 12/10/1881, p. 3 (GenealogyBank.com)
Oglethorpe (GA) Echo 12/15/1881, p. 4
Columbus (GA) Daily Enquirer 12/17/1881, p. 1 (GenealogyBank.com)
New York (NY) 8/15/1882, p. 2 (Ancestry.com)
Atlanta (GA) Constitution 8/15/1882, p. 2 (Ancestry.com; NewspaperArchive.com)
Atlanta (GA) Constitution 8/16/1882, p. 2 (Ancestry.com; NewspaperArchive.com)",,18820812,AL18820812,2,02,AL1882081202
Lynching,1882,8,19,Jack Turner,John Turner,,,Black,Male,,Choctaw,AL,1023,Choctaw ,AL,1023,,Hanged,Alleged ringleader of a plot to kill whites; being a Republican and testifying against a Democrat in U.S. Court,"Columbus (GA) Daily Enquirer-Sun 8/22/1882, p. 1
Atlanta (GA) Constitution 8/22/1882, p. 1 (Ancestry.com)
Decatur (IL) Saturday Herald 8/26/1882, p. 5 (NewspaperArchive.com)
Indiana (PA) Progress 8/31/1882, p. 1 (NewspaperArchive.com)
New York (NY) Times 8/28/1882, p. 4 (NewspaperArchive.com)
Huntsville Gazette 9/2/1882, p. 2",,18820819,AL18820819,1,01,AL1882081901
Lynching,1882,8,25,Leonard Coker,Leonard Koker,Unnamed Negro Man,,Black,Male,,Macon,AL,1087,Macon ,AL,1087,White and black,Hanged,Rape and murder of white woman,"Montgomery Advertiser and Mail 8/27/1882, p. 3
Augusta (GA) Daily Chronicle 8/27/1882, p. 1
Atlanta (GA) Constitution 8/27/1882, p. 7 (NewspaperArchive.com)
Fort Wayne (IN) Daily Gazette 8/27/1882, p. 3 (NewspaperArchive.com)
Savannah (GA) Morning News 8/28/1882, p. 1",,18820825,AL18820825,1,01,AL1882082501
Lynching,1882,10,5,John Brooks,Unnamed Negro Man,,,Black,Male,,Calhoun,AL,1015,Calhoun ,AL,1015,,Hanged,Rape of little white girl,"St. Albans (VT) Daily Messenger 10/6/1882, p. 1 (GenealogyBank.com)
Montgomery Daily Advertiser 10/8/1882, p. 4
Galveston (TX) News 10/12/1882, p. 3 (GenealogyBank.com)",,18821005,AL18821005,1,01,AL1882100501
Lynching,1883,4,10,Samuel Lewis,,,,Black,Male,,Etowah,AL,1055,Etowah,AL,1055,Black and white,Hanged,Murder of black man,"Mobile Daily Register 4/11/1883, p. 1
Columbus (GA) Ledger-Enquirer 4/11/1883, p. 1 (GenealogyBank.com)
Baltimore (MD) Sun 4/11/1883, p. 1 (GenealogyBank.com)
Wellsboro (PA) Agitator 4/17/1883, p. 2 (Ancestry.com)",,18830410,AL18830410,1,01,AL1883041001
Lynching,1883,4,28,George Ware,,,,Black,Male,,Lauderdale,AL,1077,"Colbert, Lauderdale",AL,1033,Disguised,Hanged and riddled with bullets,Murder and robbery of 12 year-old white boy,"New Orleans (LA) Times-Picayune 4/29/1883, p. 2 GenealogyBank.com)
Decatur (IL) Daily Republican 4/30/1883, p. 2 (Ancestry.com; NewspaperArchive.com)
Augusta (GA) Chronicle and Constitutionalist 5/1/1883, p. 1
Columbus (GA) Daily Enquirer-Sun 5/1/1883, p. 1 (Columbus Historic Newspapers; GenealogyBank.com)
Atlanta (GA) Weekly Constitution 5/8/1883, p. 6 (Atlanta Historic Newspapers)
Fort Wayne (IN) Weekly Sentinel 5/9/1883, p. 1 (Ancestry.com)",,18830428,AL18830428,1,01,AL1883042801
Lynching,1883,6,13,Jordan Corbin,Jerdon Corbin,Jordan Carbin,Jordon Corbin,Black,Male,,Coosa,AL,1037,Coosa ,AL,1037,,Hanged,Murdered white man and shot his wife and son,"Columbus (GA) Daily Enquirer-Sun 6/15/1883, p. 4
Augusta (GA) Chronicle and Constitutionalist 6/16/1883, p. 2
Atlanta (GA) Constitution 6/16/1883, p. 1 (Ancestry.com)
Columbus (GA) Sunday Enquirer 6/17/1883, p. 3 (Columbus Historic Newspapers)",,18830613,AL18830613,1,01,AL1883061301
Lynching,1883,6,22,Kyle Walker,Ky Walker,,,Black,Male,,Limestone,AL,1083,Giles Co. TN & Limestone Co. AL,TN & AL,47055,,Hanged,"Ax murder of a white man, a store clerk","Memphis Daily Appeal 6/21/1883, p. 1
Nashville Banner 6/21/1883, p. 1
New York (NY) Times 6/21/1883, p. 1 (NewspaperArchive.com)
Nashville Daily American 6/23/1883, p. 1
New York (NY) Herald 6/21/1883, p. 10 (GenealogyBank.com)
New York (NY) Herald 6/23/1883, p. 3 (GenealogyBank.com)",,18830622,AL18830622,1,01,AL1883062201
Lynching,1883,6,22,Harry Reed,Harry Reid,,,Black,Male,,Limestone,AL,1083,Giles Co. TN & Limestone Co. AL,TN & AL,47055,,Hanged,"Ax murder of a white man, a store clerk","Memphis Daily Appeal 6/21/1883, p. 1
Nashville Banner 6/21/1883, p. 1
New York (NY) Times 6/21/1883, p. 1 (NewspaperArchive.com)
Nashville Daily American 6/23/1883, p. 1
New York (NY) Herald 6/21/1883, p. 10 (GenealogyBank.com)
New York (NY) Herald 6/23/1883, p. 3 (GenealogyBank.com)",,18830622,AL18830622,2,02,AL1883062202
Lynching,1883,10,9,Wesley Brown,Wes Brown,Unknown Negro,Unnamed Negro Man,Black,Male,,Madison,AL,1089,Madison ,AL,1089,,Hanged ,"Murder of a white man, a policeman","Huntsville Weekly Democrat 10/10/1883, p. 1 (cited in Simpson)
Augusta (GA) Chronicle and Constitutionalist 10/11/1883, p. 2
Mobile Daily Register 10/14/1883, p. 5
New Philadelphia (OH) Argus 10/18/1883, p. 2 (a.k.a. Ohio Democrat in Ancestry.com)
Huntsville Weekly Democrat 10/10/1883, p. 1 (cited in Simpson)",,18831009,AL18831009,1,01,AL1883100901
Lynching,1883,11,24,Lewis Houston,Lewis Huston,Louis Houston,,Black,Male,,Jefferson,AL,1073,Jefferson ,AL,1073,,Hanged,Attempted outrage on white �lady�,"Augusta (GA) Chronicle and Constitutionalist 11/27/1883, p. 1
New York (NY) Times 11/27/1883, p. 5 (Ancestry.com)
Atlanta (GA) Weekly Constitution 12/4/1883, p. 5 (Atlanta Historic Newspapers)
Athens (GA) Banner-Watchman 12/4/1883,p. 1 (Athens Historic Newspapers)
New York (NY) Times 12/6/1883, p. 1 (Ancestry.com)",,18831124,AL18831124,1,01,AL1883112401
Lynching,1883,12,30,Lewis Austin,,,,Black,Male,,Walker,AL,1127,Walker,AL,1127,White and black,Hanged and riddled with bullets,"Killed a white man, a railroad contractor; wounding a white man","New York (NY) Times 1/5/1884, p. 1 (Ancestry.com)
Boston (MA) Journal 1/11/1884, p. 2 (GenealogyBank.com)
Athens (GA) Banner-Watchman 1/15/1884, p. 2 (Athens Historic Newspapers)",,18831230,AL18831230,1,01,AL1883123001
Lynching,1884,2,2,Jeff N. Rogers,Jeff Rogers,Jeff Roger,,Black,Male,,Chambers,AL,1017,Chambers,AL,1017,,Hanged,Outraging and stabbing a 19 year-old married white woman,"Atlanta (GA) Constitution 2/5/1884, p. 2                            Athens (GA) Banner-Watchman 3/4/1884, p. 1 (Athens Historic Newspapers)
Ft. Wayne (IN) Daily Gazette 2/5/1884, p. 2 (Ancestry.com)
New York (NY) Times 2/5/1884, p. 2 (Ancestry.com)
Columbus (GA) Ledger-Enquirer 2/5/1884, p. 4 (GenealogyBank.com; Columbus Historic Newspapers)
San Antonio (TX) LIght 2/5/1884, p. 1 (ChroniclingAmerica.loc.gov)
New Philadelphia (OH) Argus 2/14/1884, p. 2 (a.k.a. Ohio Democrat in Ancestry.com)
Athens (GA) Banner-Watchman 2/26/1884, p. 1 (Athens Historic Newspapers)",,18840202,AL18840202,1,01,AL1884020201
Lynching,1884,7,16,Joe Robertson,,,,Black,Male,,Greene,AL,1063,Greene ,AL,1063,White and black,Hanged,"Attempted rape of a young, unmarried white woman","Atlanta (GA) Constitution 7/17/1884, p. 2 (Ancestry.com)
Columbus (GA) Daily Enquirer-Sun 7/18/1884, p. 3 (Columbus Historic Newspapers)
Montgomery Advertiser 7/18/1884, p. 4",,18840716,AL18840716,1,01,AL1884071601
Lynching,1884,7,18,Andy Burke,Henry Burke,Henry Rurk,Henry Burk,Black,Male,,Tuscaloosa,AL,1125,Tuscaloosa ,AL,1125,,Hanged and riddled with bullets,Attempted outrage of a white 13 year-old daughter of a �prominent citizen,"Montgomery Daily Advertiser 7/19/1884, p. 1
Atlanta (GA) Constitution 7/19/1884, p. 6 (NewspaperArchive.com)
Cleveland (OH) Plain Dealer 7/19/1884, p. 1 (GenealogyBank.com)
Macon (GA) Weekly Telegraph and Messenger 7/25/1884, p. 2 (Macon Historic Newspapers)",,18840718,AL18840718,1,01,AL1884071801
Lynching,1884,9,21,� Short,,,,Black,Male,,Hale,AL,1065,Hale,AL,1065,,Riddled with bullets,Outrage on a married white woman,"New York (NY) Herald 9/22/1884, p. 5 (GenealogyBank.com)
Columbus Daily Enquirer-Sun 9/23/1884, p. 3 (Columbus Historic Newspapers)
Fort Wayne (IN) Sentinel 9/24/1884, p. 1 (NewspaperArchive.com)
Kansas City (MO) Star 9/24/1884, p. 1 (GenealogyBank.com)
New Orleans (LA) Times-Picayune 9/25/1884, p. 8 (GenealogyBank.com)",,18840921,AL18840921,1,01,AL1884092101
Lynching,1884,9,29,Pat Minnis,Patrick Minnie,Patrtick Mannis,,White,Male,,Lawrence,AL,1079,Lawrence,AL,1079,,Unreported,Unreported,"Kansas (MO) City Star 9/30/1884, p. 1 (GenealogyBank.com)
Galveston (TX) Daily News 10/1/1884, p. 1 (NewspaperArchive.com)
Richmond (VA) Dispatch 10/1/1884, p. 3 (ChroniclingAmerica.loc.gov)
Abilene (KS) Reflector 10/9/1884, p. 2 (ChroniclingAmerica.loc.gov)",,18840929,AL18840929,1,01,AL1884092901
Lynching,1884,10,20,J. R. Dorsey,,,,White,Male,74,Cherokee,AL,1019,Chattooga,GA,13055,,Hanged,Murder of his Georgia neice,"Atlanta Constitution 10/11/1884, p. 1
Atlanta Constitution 10/22/1884, p. 2
Calhoun Times 10/30/1884, p. 1",,18841020,AL18841020,1,01,AL1884102001
Lynching,1884,10,20,Jane Wade,Jane Ward,,,White,Female,46,Cherokee,AL,1019,Chattooga,GA,13055,,Hanged,Murder of J. R. Dorsey�s niece,"Atlanta Constitution 10/11/1884, p. 1
Atlanta Constitution 10/22/1884, p. 2
Calhoun Times 10/30/1884, p. 1",,18841020,AL18841020,2,02,AL1884102002
Lynching,1885,5,8,� Jordan,� Jordon,,,Black,Male,,Colbert,AL,1033,Colbert ,AL,1033,,Unreported,"Attempted criminal assault on an unmarried white girl, daughter of a prominent farmer","Oshkosh (WI) Daily Northwestern 5/9/1885, p. 1 (Ancestry.com)
Montgomery Advertiser 5/10/1885, p. 1
New York (NY) Times 5/10/1885, p. 7 (Ancestry.com)
Fort Wayne (IN) Daily Gazette 5/11/1885, p. 3 (Ancestry.com)",,18850508,AL18850508,1,01,AL1885050801
Lynching,1885,5,9,Scipio Atchison,Scipio Atkinson,,,Black,Male,,Chilton,AL,1021,Chilton ,AL,1021,,Riddled with bullets,Threats to kill white men looking for his son,"Montgomery Weekly Advertiser and Mail 5/8/1885, p. 1
Augusta (GA) Chronicle 5/12/1885, p. 1
Columbus (GA) Daily Enquirer-Sun 5/12/1885, p. 1 (Columbus Historic Newspapers)
Augusta (GA) Chronicle 5/13/1885, p. 1
Montgomery Weekly Advertiser and Mail 5/15/1885, p. 1",,18850509,AL18850509,1,01,AL1885050901
Lynching,1885,10,21,George Ward,� Ward,,,Black,Male,,Barbour,AL,1005,Barbour,AL,1005,,Hanged and riddled with bullets,Murder of a white man and murderous assault on another,"Macon (GA) Weekly Telegraph 10/23/1885, p. 1 (GenealogyBank.com)
Columbus (GA) Daily Enquirer-Sun 10/23/1885, p. 8 (Columbus Historic Newspapers)",,18851021,AL18851021,1,01,AL1885102101
Lynching,1885,12,27,Alexander Reed,Alex. Reed,Dick Reed,,Black,Male,,Clarke,AL,1025,Clarke ,AL,1025,White and black,Burned,Murder of an unmarried white woman,"Frederick (MD) News 12/29/1885, p. 1 (NewspaperArchive.com)
New York (NY) Times 12/31/1885, p. 2 (GenealogyBank.com)
Macon (GA) Weekly Telegraph 12/31/1885, p. 5 (GenealogyBank.com)
Athens (GA) Banner-Watchman 1/12/1886, p. 1 (Athens Historic Newspapers)",,18851227,AL18851227,1,01,AL1885122701
Lynching,1886,7,13,John Renfroe,Stephen Rentrae,Stephen Reutrae,Steve Renfroe,White,Male,,Sumter,AL,1119,Sumter ,AL,1119,Masked,Hanged,Attempted murder of brother-in-law; horse theft according to the Journal,"Atlanta (GA) Journal 7/14/1886, p. 1
Macon (GA) Weekly Telegraph 7/15/1886, p. 1 (GenealogyBank.com)
Atlanta (GA) Constitution 7/.20/1886, p. 4 (Atlanta Historical Newspapers)
Jackson (MS) Clarion 7/21/1886, p. 2 (GenealogyBank.com)
Albany (GA) Weekly News and Advertiser 7/24/1886, p. 4",,18860713,AL18860713,1,01,AL1886071301
Lynching,1886,10,21,Unnamed Negro #3 of 3,Unnamed Negro Man,,,Black,Male,,Pickens,AL,1107,Pickens ,AL,1107,Masked,Hanged,Arson of a white man�s house,"Macon (GA) Weekly Telegraph 10/26/1886, p. 7 (Macon Historic Newspapers)
Kansas City (MO) Star 10/22/1886, p. 1 (GenealogyBank.com)
Decatur (IL) Daily Republican 10/22/1885, p. 2 (Ancestry.com)",,18861021,AL18861021,1,01,AL1886102101
Lynching,1886,10,21,Unnamed Negro #1 of 3,Unnamed Negro Man,,,Black,Male,,Pickens,AL,1107,Pickens ,AL,1107,Masked,Hanged,Arson of a white man�s house,"Macon (GA) Weekly Telegraph 10/26/1886, p. 7 (Macon Historic Newspapers)
Kansas City (MO) Star 10/22/1886, p. 1 (GenealogyBank.com)
Decatur (IL) Daily Republican 10/22/1885, p. 2 (Ancestry.com)",,18861021,AL18861021,2,02,AL1886102102
Lynching,1886,10,21,Unnamed Negro #2 of 3,Unnamed Negro Man,,,Black,Male,,Pickens,AL,1107,Pickens ,AL,1107,Masked,Hanged,Arson of a white man�s house,"Macon (GA) Weekly Telegraph 10/26/1886, p. 7 (Macon Historic Newspapers)
Kansas City (MO) Star 10/22/1886, p. 1 (GenealogyBank.com)
Decatur (IL) Daily Republican 10/22/1885, p. 2 (Ancestry.com)",,18861021,AL18861021,3,03,AL1886102103
